Id,Book,Section_Id,File_Name,URL,Section_Roman,Book,,
67,Book 1: Adi Parva,Book01_67,mahabharata_01068.txt,https://www.mahabharataonline.com/translation/mahabharata_01068.php,Section LXVII,Book,1,Book01
68,Book 1: Adi Parva,Book01_68,mahabharata_01069.txt,https://www.mahabharataonline.com/translation/mahabharata_01069.php,Section LXVIII,Book,1,Book01
69,Book 1: Adi Parva,Book01_69,mahabharata_01070.txt,https://www.mahabharataonline.com/translation/mahabharata_01070.php,Section LXIX,Book,1,Book01
70,Book 1: Adi Parva,Book01_70,mahabharata_01071.txt,https://www.mahabharataonline.com/translation/mahabharata_01071.php,Section LXX,Book,1,Book01
71,Book 1: Adi Parva,Book01_71,mahabharata_01072.txt,https://www.mahabharataonline.com/translation/mahabharata_01072.php,Section LXXI,Book,1,Book01
72,Book 1: Adi Parva,Book01_72,mahabharata_01073.txt,https://www.mahabharataonline.com/translation/mahabharata_01073.php,Section LXXII,Book,1,Book01
73,Book 1: Adi Parva,Book01_73,mahabharata_01074.txt,https://www.mahabharataonline.com/translation/mahabharata_01074.php,Section LXXIII,Book,1,Book01
74,Book 1: Adi Parva,Book01_74,mahabharata_01075.txt,https://www.mahabharataonline.com/translation/mahabharata_01075.php,Section LXXIV,Book,1,Book01
75,Book 1: Adi Parva,Book01_75,mahabharata_01076.txt,https://www.mahabharataonline.com/translation/mahabharata_01076.php,Section LXXV,Book,1,Book01
76,Book 1: Adi Parva,Book01_76,mahabharata_01077.txt,https://www.mahabharataonline.com/translation/mahabharata_01077.php,Section LXXVI,Book,1,Book01
77,Book 1: Adi Parva,Book01_77,mahabharata_01078.txt,https://www.mahabharataonline.com/translation/mahabharata_01078.php,Section LXXVII,Book,1,Book01
78,Book 1: Adi Parva,Book01_78,mahabharata_01079.txt,https://www.mahabharataonline.com/translation/mahabharata_01079.php,Section LXXVIII,Book,1,Book01
79,Book 1: Adi Parva,Book01_79,mahabharata_01080.txt,https://www.mahabharataonline.com/translation/mahabharata_01080.php,Section LXXIX,Book,1,Book01
80,Book 1: Adi Parva,Book01_80,mahabharata_01081.txt,https://www.mahabharataonline.com/translation/mahabharata_01081.php,Section LXXX,Book,1,Book01
81,Book 1: Adi Parva,Book01_81,mahabharata_01082.txt,https://www.mahabharataonline.com/translation/mahabharata_01082.php,Section LXXXI,Book,1,Book01
82,Book 1: Adi Parva,Book01_82,mahabharata_01083.txt,https://www.mahabharataonline.com/translation/mahabharata_01083.php,Section LXXXII,Book,1,Book01
