,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
82,12.909537410736084,0.7489432923747036,0.14762749671936035,0.01894359630572368,10,1,2,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9482288828337875,0.9252077562326869,0.934844192634561,0.8991825613079019,0.912568306010929,0.9240063398039732,0.017045132103428843,105,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
83,20.95771050453186,0.42315478933421236,0.22719616889953614,0.008914042779611196,10,1,2,800,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9508196721311476,0.9256198347107439,0.934844192634561,0.907608695652174,0.912568306010929,0.926292140227911,0.015573080255162337,50,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
84,30.23265619277954,1.1737576857403005,0.30242319107055665,0.05999279083357346,10,1,2,1200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.9510869565217391,0.9256198347107439,0.9375,0.9071038251366121,0.912568306010929,0.9267757844760048,0.016101034335026507,36,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
85,2.427977275848389,0.14103246562714064,0.03686838150024414,0.0029639797410507397,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9230769230769231,0.9180327868852459,0.9204545454545455,0.875,0.9150684931506851,0.9103265497134799,0.017860490207194057,314,0.9993060374739764,0.9993060374739764,0.9993060374739764,0.9993060374739764,0.9993060374739764,0.9993060374739764,0.0
86,7.251389980316162,0.5030343319479642,0.077984619140625,0.017597212543999808,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9453551912568307,0.9217877094972067,0.9291784702549574,0.9016393442622951,0.9209809264305178,0.9237883283403615,0.014118390013359707,128,0.9986130374479889,0.9993060374739764,0.9993060374739764,1.0,0.9993060374739764,0.9993062299739837,0.0004385961327377296
87,13.069705295562745,0.22186740518214906,0.14451475143432618,0.002547572495548568,10,1,5,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9459459459459458,0.9333333333333333,0.9378531073446328,0.8991825613079019,0.9184782608695653,0.9269586417602758,0.01651224575039864,34,0.9986130374479889,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9994450224791883,0.0005190053665811111
88,21.377875518798827,0.3829694999893611,0.23152470588684082,0.009352965668910437,10,1,5,800,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.9510869565217391,0.9362880886426593,0.9401709401709402,0.9071038251366121,0.912568306010929,0.9294436232965759,0.01681784065575237,6,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,0.9993060374739764,0.9994448299791812,0.0002775850104094424
89,30.647479438781737,2.069563295745438,0.32558608055114746,0.006853601073736603,10,1,5,1200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.9482288828337875,0.9307479224376731,0.9405099150141643,0.9071038251366121,0.912568306010929,0.9278317702866332,0.01579811728782577,25,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
90,2.1219239234924316,0.09335306327171292,0.035947561264038086,0.0035579172238679882,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9256198347107439,0.934065934065934,0.9310344827586207,0.8931506849315068,0.9159891598915989,0.9199720192716809,0.014752365888156156,229,0.997920997920998,0.9986130374479889,0.9986130374479889,0.9993060374739764,1.0,0.9988906220581905,0.0007067625887826743
91,7.526871299743652,0.5084125168923018,0.08300800323486328,0.01775021763520957,10,1,10,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.948509485094851,0.9277777777777778,0.9378531073446328,0.9027027027027026,0.9155313351498637,0.9264748816139656,0.016134205955996687,47,0.9986130374479889,0.9993060374739764,0.9986130374479889,0.9986130374479889,1.0,0.9990290299635888,0.000554736927114986
92,11.861818981170654,0.9697591587293896,0.14204068183898927,0.028337112618360822,10,1,10,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.9539295392953928,0.9222222222222223,0.9344729344729344,0.907608695652174,0.912568306010929,0.9261603395307304,0.01664117378058796,53,0.9986130374479889,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,0.9993062299739837,0.0004385961327377296
