,Text
42,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
43,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
44,"RT @girishavasthirj: प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे।…"
45,"RT @girishavasthirj: प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे।…"
46,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
47,"RT @girishavasthirj: प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे।…"
48,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
49,"RT @girishavasthirj: प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे।…"
50,"प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे। वे घाटी में बच्चों को चॉकलेट बाँटते थे और 
               वहाँ की स्त्रियों को अपनी माँ- बहन मानते थे।

#व्यंग्य  बुरा मानो रे।।"
51,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
52,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
53,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
54,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
55,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
