full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,135,0,,,,Sun Sep 27 12:52:00 +0000 2020,1310200518166351872
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,2464,0,,,,Sun Sep 27 12:50:12 +0000 2020,1310200064032219136
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,1258,0,,,,Sun Sep 27 12:47:54 +0000 2020,1310199485146914817
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,2649,0,,,,Sun Sep 27 12:36:54 +0000 2020,1310196717304688640
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,8851,0,,,,Sun Sep 27 12:04:15 +0000 2020,1310188503389466625
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,238,0,,,,Sun Sep 27 12:02:27 +0000 2020,1310188050249519105
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,2011,0,,,,Sun Sep 27 12:01:18 +0000 2020,1310187758686625792
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,3699,0,,,,Sun Sep 27 11:55:39 +0000 2020,1310186338319130624
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,30,0,,,,Sun Sep 27 11:54:24 +0000 2020,1310186021091291137
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,1978,0,,,,Sun Sep 27 11:52:36 +0000 2020,1310185568089899008
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,2339,0,,,,Sun Sep 27 11:50:18 +0000 2020,1310184989175066626
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,1869,0,,,,Sun Sep 27 11:47:14 +0000 2020,1310184219042222083
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,183,0,,,,Sun Sep 27 11:44:46 +0000 2020,1310183600260669441
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,12181,0,,,,Sun Sep 27 11:43:51 +0000 2020,1310183368303108098
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,3241,0,,,,Sun Sep 27 11:43:51 +0000 2020,1310183368085004293
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,4291,0,,,,Sun Sep 27 11:43:07 +0000 2020,1310183180972957696
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,888,0,,,,Sun Sep 27 11:22:09 +0000 2020,1310177907633983493
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,26751,0,,,,Sun Sep 27 11:20:49 +0000 2020,1310177570617401344
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,949,0,,,,Sun Sep 27 11:10:25 +0000 2020,1310174954957070336
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,6814,0,,,,Sun Sep 27 11:08:04 +0000 2020,1310174363468038145
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,1970,0,,,,Sun Sep 27 11:05:19 +0000 2020,1310173670766116864
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,569,0,,,,Sun Sep 27 11:04:57 +0000 2020,1310173577371508737
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,2640,0,,,,Sun Sep 27 11:03:23 +0000 2020,1310173184432324608
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,272,0,,,,Sun Sep 27 11:02:52 +0000 2020,1310173054513811461
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,471,0,,,,Sun Sep 27 11:01:34 +0000 2020,1310172728616386562
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,1185,0,,,,Sun Sep 27 11:01:25 +0000 2020,1310172688803983362
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,2740,0,,,,Sun Sep 27 11:01:20 +0000 2020,1310172667425689600
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,132,0,,,,Sun Sep 27 10:59:39 +0000 2020,1310172244631379968
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,11508,0,,,,Sun Sep 27 10:59:21 +0000 2020,1310172168374767617
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,4056,0,,,,Sun Sep 27 10:59:08 +0000 2020,1310172115199356928
"RT @NAWABI__CHORA: #कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमा…",37,8858,0,,,,Sun Sep 27 10:58:27 +0000 2020,1310171942746349568
"#कटाक्ष
500-500 सौ रूपये
और एक प्लेट बिरयानी के लिए धरने पर बैठे देशद्रोही किसान...🤣

जिस तरह NRC CAA से भारतीय मुसलमानों को  कोई खतरा नहीं, उस तरह किसान बिल से भी किसानों को कोई खतरा नहीं..।
👇
होगी तानाशाही तो आएंगे कई  लोग जद में,
इस तानाशाही का  शिकार सिर्फ मुसलमान थोड़ी है. https://t.co/cvOZL2HX6u",37,1869,42,,,,Sun Sep 27 10:57:13 +0000 2020,1310171633647140864
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,2605,0,,,,Sun Sep 27 10:20:34 +0000 2020,1310162409068265472
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,5068,0,,,,Sun Sep 27 09:38:25 +0000 2020,1310151803015589888
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,73015,0,,,,Sun Sep 27 09:33:29 +0000 2020,1310150560633425920
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,3602,0,,,,Sun Sep 27 09:30:41 +0000 2020,1310149855663149056
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,1504,0,,,,Sun Sep 27 09:04:21 +0000 2020,1310143226611863552
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,3542,0,,,,Sun Sep 27 09:03:28 +0000 2020,1310143006809362433
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,10583,0,,,,Sun Sep 27 08:56:39 +0000 2020,1310141290969927683
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,17,0,,,,Sun Sep 27 08:55:21 +0000 2020,1310140964179116033
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,9831,0,,,,Sun Sep 27 08:43:01 +0000 2020,1310137859521667075
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,51249,0,,,,Sun Sep 27 08:40:12 +0000 2020,1310137151657357312
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,133,0,,,,Sun Sep 27 08:39:55 +0000 2020,1310137080710754306
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,6420,0,,,,Sun Sep 27 08:15:59 +0000 2020,1310131054871674880
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,44624,0,,,,Sun Sep 27 08:13:03 +0000 2020,1310130316724461570
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,76883,0,,,,Sun Sep 27 08:10:36 +0000 2020,1310129700786724864
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,1522,0,,,,Sun Sep 27 08:09:37 +0000 2020,1310129454069374976
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,6302,0,,,,Sun Sep 27 08:07:17 +0000 2020,1310128867110268928
"RT @gautam007: परसाई की सच्चाई......
#व्यंग #कटाक्ष https://t.co/DbRaSLn4zC",76,6638,0,,,,Sun Sep 27 08:00:01 +0000 2020,1310127037496004613
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,102,0,,,,Sun Sep 27 07:49:38 +0000 2020,1310124425358897153
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,7,0,,,,Sun Sep 27 07:43:47 +0000 2020,1310122951962816512
RT @0007tilak: आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी…,10,403,0,,,,Sun Sep 27 07:28:51 +0000 2020,1310119196638892033
"आज वो भी #DaughtersDay2020 की शुभकामनाओं सहित लम्बे लम्बे भाषण लिखकर खुद को गौरवान्वित महसूस कर रहे हैं जिन्होंने अपनी पत्नी के गर्भ में ही बेटी को हत्या की थी.......।
#कटाक्ष
#shameless
#दोगलेलोग 
#DaughtersDay2020",10,2191,25,,,,Sun Sep 27 07:27:18 +0000 2020,1310118805213863937
