Season,Team,Position,Metrics,Score
4,Jaipur Pink Panthers,4,ALL-OUTS INFLICTED,17
4,Dabang Delhi K.C.,5,ALL-OUTS INFLICTED,15
4,Patna Pirates,1,TACKLE POINTS,171
4,Telugu Titans,2,TACKLE POINTS,162
4,Puneri Paltan,3,TACKLE POINTS,146
4,Jaipur Pink Panthers,4,TACKLE POINTS,135
4,Dabang Delhi K.C.,5,TACKLE POINTS,134
4,Patna Pirates,1,AVERAGE TACKLE POINTS,10.69
4,Telugu Titans,2,AVERAGE TACKLE POINTS,10.13
4,Dabang Delhi K.C.,3,AVERAGE TACKLE POINTS,9.57
4,Puneri Paltan,4,AVERAGE TACKLE POINTS,9.13
4,Bengal Warriors,5,AVERAGE TACKLE POINTS,8.93
4,Bengaluru Bulls,1,ALL-OUTS CONCEDED,21
4,U Mumba,1,ALL-OUTS CONCEDED,21
4,Puneri Paltan,3,ALL-OUTS CONCEDED,17
4,Dabang Delhi K.C.,4,ALL-OUTS CONCEDED,16
4,Bengal Warriors,5,ALL-OUTS CONCEDED,15
5,Patna Pirates,1,TOTAL POINTS,1050
5,Gujarat Fortunegiants,2,TOTAL POINTS,775
5,Puneri Paltan,3,TOTAL POINTS,766
5,U.P. Yoddha,4,TOTAL POINTS,762
5,Bengal Warriors,5,TOTAL POINTS,749
5,Patna Pirates,1,TOTAL POINTS CONCEDED,921
5,U.P. Yoddha,2,TOTAL POINTS CONCEDED,763
5,Bengal Warriors,3,TOTAL POINTS CONCEDED,757
5,U Mumba,3,TOTAL POINTS CONCEDED,757
5,Tamil Thalaivas,5,TOTAL POINTS CONCEDED,752
5,Puneri Paltan,1,DO-OR-DIE RAID POINTS,119
5,Haryana Steelers,2,DO-OR-DIE RAID POINTS,105
5,Gujarat Fortunegiants,3,DO-OR-DIE RAID POINTS,98
5,Patna Pirates,4,DO-OR-DIE RAID POINTS,95
5,Dabang Delhi K.C.,5,DO-OR-DIE RAID POINTS,94
5,Patna Pirates,1,RAID POINTS,637
5,U.P. Yoddha,2,RAID POINTS,461
5,Bengal Warriors,3,RAID POINTS,455
5,U Mumba,4,RAID POINTS,419
5,Tamil Thalaivas,5,RAID POINTS,410
5,Patna Pirates,1,AVERAGE RAID POINTS,24.5
5,U.P. Yoddha,2,AVERAGE RAID POINTS,20.04
5,U Mumba,3,AVERAGE RAID POINTS,19.05
5,Bengal Warriors,4,AVERAGE RAID POINTS,18.96
5,Tamil Thalaivas,5,AVERAGE RAID POINTS,18.64
5,Patna Pirates,1,ALL-OUTS INFLICTED,55
5,Gujarat Fortunegiants,2,ALL-OUTS INFLICTED,36
5,Puneri Paltan,3,ALL-OUTS INFLICTED,32
5,Bengaluru Bulls,4,ALL-OUTS INFLICTED,28
5,Bengal Warriors,5,ALL-OUTS INFLICTED,27
5,Puneri Paltan,1,TACKLE POINTS,271
5,Gujarat Fortunegiants,2,TACKLE POINTS,254
5,Patna Pirates,3,TACKLE POINTS,252
5,Haryana Steelers,4,TACKLE POINTS,227
5,Telugu Titans,5,TACKLE POINTS,207
5,Puneri Paltan,1,AVERAGE TACKLE POINTS,11.29
5,Gujarat Fortunegiants,2,AVERAGE TACKLE POINTS,10.58
5,Haryana Steelers,3,AVERAGE TACKLE POINTS,9.87
5,Patna Pirates,4,AVERAGE TACKLE POINTS,9.69
5,Telugu Titans,5,AVERAGE TACKLE POINTS,9.41
5,U Mumba,1,ALL-OUTS CONCEDED,36
5,Dabang Delhi K.C.,2,ALL-OUTS CONCEDED,35
5,U.P. Yoddha,3,ALL-OUTS CONCEDED,32
5,Tamil Thalaivas,4,ALL-OUTS CONCEDED,31
5,Bengal Warriors,5,ALL-OUTS CONCEDED,29
6,Bengaluru Bulls,1,TOTAL POINTS,887
6,Gujarat Fortunegiants,2,TOTAL POINTS,876
6,U Mumba,3,TOTAL POINTS,856
6,Dabang Delhi K.C.,4,TOTAL POINTS,822
6,U.P. Yoddha,5,TOTAL POINTS,812
6,U.P. Yoddha,1,TOTAL POINTS CONCEDED,847
6,Patna Pirates,2,TOTAL POINTS CONCEDED,835
6,Dabang Delhi K.C.,3,TOTAL POINTS CONCEDED,824
6,Haryana Steelers,4,TOTAL POINTS CONCEDED,806
6,Jaipur Pink Panthers,5,TOTAL POINTS CONCEDED,780
6,U Mumba,1,DO-OR-DIE RAID POINTS,89
6,U.P. Yoddha,2,DO-OR-DIE RAID POINTS,86
6,Telugu Titans,3,DO-OR-DIE RAID POINTS,85
6,Bengal Warriors,3,DO-OR-DIE RAID POINTS,85
6,Jaipur Pink Panthers,5,DO-OR-DIE RAID POINTS,75
6,Bengaluru Bulls,1,RAID POINTS,547
6,Patna Pirates,2,RAID POINTS,496
6,Dabang Delhi K.C.,3,RAID POINTS,483
6,Gujarat Fortunegiants,4,RAID POINTS,480
6,U Mumba,5,RAID POINTS,459
6,Bengaluru Bulls,1,AVERAGE RAID POINTS,22.79
6,Patna Pirates,2,AVERAGE RAID POINTS,22.55
6,Haryana Steelers,3,AVERAGE RAID POINTS,20.32
6,Dabang Delhi K.C.,4,AVERAGE RAID POINTS,20.13
6,U Mumba,5,AVERAGE RAID POINTS,19.96
6,U Mumba,1,ALL-OUTS INFLICTED,41
6,Bengaluru Bulls,2,ALL-OUTS INFLICTED,37
6,Gujarat Fortunegiants,3,ALL-OUTS INFLICTED,36
6,Dabang Delhi K.C.,4,ALL-OUTS INFLICTED,34
6,Patna Pirates,5,ALL-OUTS INFLICTED,30
6,U Mumba,1,TACKLE POINTS,289
6,Gujarat Fortunegiants,2,TACKLE POINTS,274
6,U.P. Yoddha,3,TACKLE POINTS,265
6,Telugu Titans,4,TACKLE POINTS,233
6,Bengaluru Bulls,5,TACKLE POINTS,230
6,U Mumba,1,AVERAGE TACKLE POINTS,12.57
6,Gujarat Fortunegiants,2,AVERAGE TACKLE POINTS,10.96
6,U.P. Yoddha,3,AVERAGE TACKLE POINTS,10.6
6,Telugu Titans,4,AVERAGE TACKLE POINTS,10.59
6,Jaipur Pink Panthers,5,AVERAGE TACKLE POINTS,10.23
6,Haryana Steelers,1,ALL-OUTS CONCEDED,33
6,Jaipur Pink Panthers,2,ALL-OUTS CONCEDED,32
6,Patna Pirates,3,ALL-OUTS CONCEDED,30
6,U.P. Yoddha,3,ALL-OUTS CONCEDED,30
6,Puneri Paltan,5,ALL-OUTS CONCEDED,29
7,Bengal Warriors,1,TOTAL POINTS,676
7,Bengaluru Bulls,2,TOTAL POINTS,656
7,Dabang Delhi K.C.,3,TOTAL POINTS,649
7,Patna Pirates,4,TOTAL POINTS,640
7,Jaipur Pink Panthers,5,TOTAL POINTS,626
