Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
Vinod Kumar,5,19,33,0,8,0,41,,,Bengaluru Bulls,Raider,Indian,Rs 10 lakh
Vinod Kumar,5,21,34,2,14,5,48,,,Bengaluru Bulls,Raider,Indian,Rs 10 lakh
Vinod Kumar,6,0,0,0,0,0,0,,,Bengaluru Bulls,Raider,Indian,Rs 10 lakh
Vinod Kumar,6,17,22,,29,4,51,,,Bengaluru Bulls,Raider,Indian,Rs 10 lakh
Viraj Vishnu Langde,5,19,,,16,,16,,,Bengal Warriors,Defender - Left Corner,Indian,Rs 10 lakh
Viraj Vishnu Langde,6,7,,,6,,6,,,Bengal Warriors,Defender - Left Corner,Indian,Rs 10 lakh
Vishal,5,5,2,,9,3,11,,,Jaipur Pink Panthers,All-Rounder,Indian,Rs 20.25 lakh
Vishal,6,6,1,,9,2,10,,,Jaipur Pink Panthers,All-Rounder,Indian,Rs 20.25 lakh
Vishal Bhardwaj,4,2,1,,6,,7,,,Telugu Titans,Defender,Indian,Rs 60 lakh
Vishal Bhardwaj,5,22,,,71,3,71,,5,Telugu Titans,Defender,Indian,Rs 60 lakh
Vishal Bhardwaj,6,17,0,0,60,9,60,0,5,Telugu Titans,Defender,Indian,Rs 60 lakh
Vishal Mane,1,16,0,0,20,1,20,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
Vishal Mane,2,14,0,0,26,0,26,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
Vishal Mane,3,13,0,0,16,0,16,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
Vishal Mane,4,14,0,0,31,3,31,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
Vishal Mane,5,26,0,0,39,3,39,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
Vishal Mane,6,22,0,0,38,2,38,,,Dabang Delhi,Defender - Right cover,Indian,Rs 28.5 lakh
